mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,noise_path,noise_gain
3664-178355-0032_226-122538-0014,train-clean-100\3664\178355\3664-178355-0032.flac,0.4554262463802211,train-clean-100\226\122538\226-122538-0014.flac,0.8166725694506727,tr\025o031e_0.37731_01eo030a_-0.37731.wav,1.558529249464696
6000-55211-0030_839-130898-0085,train-clean-100\6000\55211\6000-55211-0030.flac,0.6842824230991137,train-clean-100\839\130898\839-130898-0085.flac,0.7141453082485502,tr\403c0211_1.3264_01ao030d_-1.3264.wav,2.533658494382526
3807-4955-0003_125-121342-0008,train-clean-100\3807\4955\3807-4955-0003.flac,0.5266160989216888,train-clean-100\125\121342\125-121342-0008.flac,1.4142726726357824,tr\01bc020b_1.9509_40go0310_-1.9509.wav,0.933049922373065
5049-25947-0064_201-122255-0020,train-clean-100\5049\25947\5049-25947-0064.flac,0.7017416926042257,train-clean-100\201\122255\201-122255-0020.flac,0.5200608923100681,tr\40lo0302_2.4223_011o030w_-2.4223.wav,0.7552640480149215
2436-2476-0037_5322-7678-0027,train-clean-100\2436\2476\2436-2476-0037.flac,1.3790051910797558,train-clean-100\5322\7678\5322-7678-0027.flac,0.8913362618494063,tr\40gc0209_2.2901_01va0114_-2.2901.wav,1.689998037507585
403-128339-0029_125-121342-0002,train-clean-100\403\128339\403-128339-0029.flac,0.4507304421386612,train-clean-100\125\121342\125-121342-0002.flac,2.0519635705055435,tr\01uo030f_1.5091_01vo0318_-1.5091.wav,1.6100094257976991
5678-43302-0011_8123-275209-0027,train-clean-100\5678\43302\5678-43302-0011.flac,0.3414869316291757,train-clean-100\8123\275209\8123-275209-0027.flac,0.519890727531744,tr\01vc0214_0.92543_025o031e_-0.92543.wav,3.3646505035862253
1235-135884-0033_4297-13009-0019,train-clean-100\1235\135884\1235-135884-0033.flac,0.7082311743633091,train-clean-100\4297\13009\4297-13009-0019.flac,0.6555230014488901,tr\01eo030t_1.4447_206o0105_-1.4447.wav,2.338814034154616
7226-86965-0032_8747-293952-0015,train-clean-100\7226\86965\7226-86965-0032.flac,0.5115603814480002,train-clean-100\8747\293952\8747-293952-0015.flac,0.7045770539143059,tr\20ko0106_2.3801_206o0105_-2.3801.wav,0.7398042688300397
3983-5331-0028_1455-138263-0033,train-clean-100\3983\5331\3983-5331-0028.flac,0.7395710359128458,train-clean-100\1455\138263\1455-138263-0033.flac,0.5387034396295679,tr\01da0110_0.17019_01jo0304_-0.17019.wav,1.948050009490598
