mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,source_3_path,source_3_gain,source_4_path,source_4_gain,noise_path,noise_gain
8051-295385-0004_6181-216552-0067_7067-76048-0021_4788-94904-0013,train-clean-100\8051\295385\8051-295385-0004.flac,0.5497332869816672,train-clean-100\6181\216552\6181-216552-0067.flac,0.5743933279396686,train-clean-100\7067\76048\7067-76048-0021.flac,0.6913768640586392,train-clean-100\4788\94904\4788-94904-0013.flac,0.6016801019142809,tr\20ao010q_1.0741_408a010n_-1.0741.wav,0.4182747302462934
6848-252322-0003_3259-158083-0090_1624-168623-0018_2159-179157-0005,train-clean-100\6848\252322\6848-252322-0003.flac,0.3977055287880497,train-clean-100\3259\158083\3259-158083-0090.flac,0.4884261432865326,train-clean-100\1624\168623\1624-168623-0018.flac,0.6105492695822207,train-clean-100\2159\179157\2159-179157-0005.flac,0.7162351604884724,tr\40io0310_2.0228_208a010z_-2.0228.wav,1.1386255048407474
8419-286676-0000_250-142276-0043_3947-13262-0049_150-126112-0028,train-clean-100\8419\286676\8419-286676-0000.flac,0.5854373017083674,train-clean-100\250\142276\250-142276-0043.flac,0.6324543381761286,train-clean-100\3947\13262\3947-13262-0049.flac,0.5020027769115357,train-clean-100\150\126112\150-126112-0028.flac,0.853754996415634,tr\20so0108_0.64328_02co030m_-0.64328.wav,1.169293762415131
7402-90848-0054_4267-72637-0019_1098-133695-0019_7278-104730-0017,train-clean-100\7402\90848\7402-90848-0054.flac,0.6733803112995795,train-clean-100\4267\72637\4267-72637-0019.flac,0.742042366614054,train-clean-100\1098\133695\1098-133695-0019.flac,0.5328150456558168,train-clean-100\7278\104730\7278-104730-0017.flac,0.629464148152975,tr\20qo0102_0.1038_401o0301_-0.1038.wav,2.68042683125422
5808-48608-0037_5192-19397-0022_5561-39621-0045_445-123857-0007,train-clean-100\5808\48608\5808-48608-0037.flac,0.4061039443824061,train-clean-100\5192\19397\5192-19397-0022.flac,0.7179414085798594,train-clean-100\5561\39621\5561-39621-0045.flac,0.1663482950085657,train-clean-100\445\123857\445-123857-0007.flac,0.508482638463473,tr\01no0309_0.18312_404o031d_-0.18312.wav,0.8766176111559238
2007-149877-0043_7312-92432-0012_6563-63821-0042_2514-149482-0015,train-clean-100\2007\149877\2007-149877-0043.flac,0.5113965857905138,train-clean-100\7312\92432\7312-92432-0012.flac,0.4736218452211976,train-clean-100\6563\63821\6563-63821-0042.flac,1.207283268381263,train-clean-100\2514\149482\2514-149482-0015.flac,0.5225708514129529,tr\20so010n_0.097163_02do030v_-0.097163.wav,0.7375599783252711
7517-100442-0026_3983-5331-0011_2182-181183-0003_1447-130550-0025,train-clean-100\7517\100442\7517-100442-0026.flac,0.3559508303058761,train-clean-100\3983\5331\3983-5331-0011.flac,0.94289588756493,train-clean-100\2182\181183\2182-181183-0003.flac,1.1332088770243534,train-clean-100\1447\130550\1447-130550-0025.flac,1.849275122612816,tr\01nc021b_0.61327_209a010p_-0.61327.wav,0.9602400637741082
5750-100289-0077_4362-15663-0091_4014-186179-0031_8108-274318-0047,train-clean-100\5750\100289\5750-100289-0077.flac,0.5646817074174038,train-clean-100\4362\15663\4362-15663-0091.flac,0.3592920898405174,train-clean-100\4014\186179\4014-186179-0031.flac,0.4664392153646743,train-clean-100\8108\274318\8108-274318-0047.flac,0.426147697068015,tr\20ko010m_1.5017_01aa010t_-1.5017.wav,1.936132073440227
1737-146161-0003_1040-133433-0016_7780-274562-0013_7278-246956-0022,train-clean-100\1737\146161\1737-146161-0003.flac,0.6428377595585368,train-clean-100\1040\133433\1040-133433-0016.flac,1.3020595205826622,train-clean-100\7780\274562\7780-274562-0013.flac,0.7396379739044013,train-clean-100\7278\246956\7278-246956-0022.flac,0.6707464483069645,tr\01wo030l_0.38677_01lo0319_-0.38677.wav,0.3045181346859293
8108-280359-0009_4680-16026-0038_6385-34655-0020_8609-283227-0025,train-clean-100\8108\280359\8108-280359-0009.flac,0.9158262662478254,train-clean-100\4680\16026\4680-16026-0038.flac,0.7602700901177805,train-clean-100\6385\34655\6385-34655-0020.flac,0.6188881402872554,train-clean-100\8609\283227\8609-283227-0025.flac,0.7098502628706564,tr\01jo0315_0.58208_20ta010p_-0.58208.wav,1.7045150987428
