mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,source_3_path,source_3_gain,source_4_path,source_4_gain,source_5_path,source_5_gain,noise_path,noise_gain
7190-90543-0010_2518-154826-0001_5390-30096-0007_5703-47198-0023_6415-116629-0022,train-clean-100\7190\90543\7190-90543-0010.flac,0.2082381400583707,train-clean-100\2518\154826\2518-154826-0001.flac,0.7315326269968248,train-clean-100\5390\30096\5390-30096-0007.flac,0.3765989807129078,train-clean-100\5703\47198\5703-47198-0023.flac,0.3376491684632918,train-clean-100\6415\116629\6415-116629-0022.flac,0.4294483652342569,tr\015o0308_1.0415_01ro0315_-1.0415.wav,1.055265310090463
8838-298545-0005_6078-54013-0062_669-129061-0082_7402-90848-0022_3664-178355-0000,train-clean-100\8838\298545\8838-298545-0005.flac,0.6943192536975243,train-clean-100\6078\54013\6078-54013-0062.flac,0.4902206670471246,train-clean-100\669\129061\669-129061-0082.flac,0.4170662159538385,train-clean-100\7402\90848\7402-90848-0022.flac,0.3618604918816677,train-clean-100\3664\178355\3664-178355-0000.flac,0.3331376047714614,tr\20sc010j_0.44597_205o010i_-0.44597.wav,2.3618190293576578
2518-154826-0029_1246-124550-0015_441-128982-0010_4267-287369-0012_5750-100289-0006,train-clean-100\2518\154826\2518-154826-0029.flac,1.1111494203332295,train-clean-100\1246\124550\1246-124550-0015.flac,0.381171520880426,train-clean-100\441\128982\441-128982-0010.flac,0.418529928461868,train-clean-100\4267\287369\4267-287369-0012.flac,0.517962872531226,train-clean-100\5750\100289\5750-100289-0006.flac,0.3647318208600963,tr\20so0106_1.5343_01ba0106_-1.5343.wav,2.1247382218523905
4137-11701-0016_5789-70653-0014_125-121124-0023_8419-293469-0025_8051-119902-0036,train-clean-100\4137\11701\4137-11701-0016.flac,0.5235993884123722,train-clean-100\5789\70653\5789-70653-0014.flac,0.4668615751866893,train-clean-100\125\121124\125-121124-0023.flac,0.8974992089459893,train-clean-100\8419\293469\8419-293469-0025.flac,0.4104610108680508,train-clean-100\8051\119902\8051-119902-0036.flac,0.3225774493869432,tr\020c0205_0.60076_20do0101_-0.60076.wav,1.934632416019484
4680-16041-0038_2893-139322-0031_909-131041-0023_78-369-0043_4195-186237-0013,train-clean-100\4680\16041\4680-16041-0038.flac,1.2548339267568729,train-clean-100\2893\139322\2893-139322-0031.flac,0.9094714568961983,train-clean-100\909\131041\909-131041-0023.flac,0.8108245116108856,train-clean-100\78\369\78-369-0043.flac,0.5647217678960315,train-clean-100\4195\186237\4195-186237-0013.flac,0.4779818371061791,tr\20ro0102_0.050992_20mo0101_-0.050992.wav,0.8963810167641474
4014-186175-0025_6272-70168-0005_5703-47198-0013_405-130894-0050_6064-56165-0031,train-clean-100\4014\186175\4014-186175-0025.flac,0.9683541744827032,train-clean-100\6272\70168\6272-70168-0005.flac,0.5339509436264139,train-clean-100\5703\47198\5703-47198-0013.flac,0.3375292679458355,train-clean-100\405\130894\405-130894-0050.flac,0.4498268070392964,train-clean-100\6064\56165\6064-56165-0031.flac,0.4399935619400796,tr\01nc0202_2.4924_016o030w_-2.4924.wav,0.810758237714163
1867-154071-0013_7859-102519-0000_8108-280354-0022_6529-62554-0001_8770-295462-0025,train-clean-100\1867\154071\1867-154071-0013.flac,0.782579601907701,train-clean-100\7859\102519\7859-102519-0000.flac,0.7415911040070245,train-clean-100\8108\280354\8108-280354-0022.flac,0.4356237658363793,train-clean-100\6529\62554\6529-62554-0001.flac,0.8848785759189992,train-clean-100\8770\295462\8770-295462-0025.flac,0.638344873505888,tr\022c0204_0.25612_20bo010p_-0.25612.wav,1.9340014479217376
5393-19219-0015_7302-86815-0016_3857-180923-0027_2289-152253-0003_6081-41997-0032,train-clean-100\5393\19219\5393-19219-0015.flac,0.4022917146230115,train-clean-100\7302\86815\7302-86815-0016.flac,0.7084454916589085,train-clean-100\3857\180923\3857-180923-0027.flac,0.6647533727221487,train-clean-100\2289\152253\2289-152253-0003.flac,1.7046300279840914,train-clean-100\6081\41997\6081-41997-0032.flac,0.4569302785635363,tr\013a0106_1.4439_40io030g_-1.4439.wav,1.0247057695230253
4088-158077-0023_298-126791-0011_3259-158083-0013_374-180298-0000_328-129766-0037,train-clean-100\4088\158077\4088-158077-0023.flac,0.6081783125979463,train-clean-100\298\126791\298-126791-0011.flac,0.4540754557936021,train-clean-100\3259\158083\3259-158083-0013.flac,0.9063761254671736,train-clean-100\374\180298\374-180298-0000.flac,0.5026513348886974,train-clean-100\328\129766\328-129766-0037.flac,0.5934260514202669,tr\406o0301_1.0966_01ko031c_-1.0966.wav,3.201028580408823
1098-133695-0087_5339-14134-0006_233-155990-0017_5652-19215-0062_3168-173565-0020,train-clean-100\1098\133695\1098-133695-0087.flac,0.8223550288984588,train-clean-100\5339\14134\5339-14134-0006.flac,0.384039998726253,train-clean-100\233\155990\233-155990-0017.flac,1.0088939549490892,train-clean-100\5652\19215\5652-19215-0062.flac,0.4497068993507223,train-clean-100\3168\173565\3168-173565-0020.flac,0.4720041478717668,tr\40ma010d_2.171_011o030o_-2.171.wav,0.7730043519832328
1069-133709-0010_460-172359-0087_39-121914-0035_8425-292520-0022_7794-295947-0026,train-clean-100\1069\133709\1069-133709-0010.flac,0.3309583957284982,train-clean-100\460\172359\460-172359-0087.flac,0.5855185959015283,train-clean-100\39\121914\39-121914-0035.flac,0.7234718859877652,train-clean-100\8425\292520\8425-292520-0022.flac,0.3525695670827962,train-clean-100\7794\295947\7794-295947-0026.flac,0.2961450522706133,tr\20pa0114_1.8811_40lo030l_-1.8811.wav,0.6790140286412646
5867-48852-0078_1737-142397-0008_7067-76048-0016_7511-102419-0031_6181-216552-0012,train-clean-100\5867\48852\5867-48852-0078.flac,0.8185648360702205,train-clean-100\1737\142397\1737-142397-0008.flac,0.6970416371031468,train-clean-100\7067\76048\7067-76048-0016.flac,0.6444256335196824,train-clean-100\7511\102419\7511-102419-0031.flac,0.7213178238158742,train-clean-100\6181\216552\6181-216552-0012.flac,0.3521426589962564,tr\20ha010a_1.7667_01zo031e_-1.7667.wav,2.619743820452562
3374-298026-0001_625-132112-0012_211-122425-0043_7511-102420-0050_6529-62556-0026,train-clean-100\3374\298026\3374-298026-0001.flac,0.4426719562085736,train-clean-100\625\132112\625-132112-0012.flac,0.5317127039636919,train-clean-100\211\122425\211-122425-0043.flac,1.008893977420272,train-clean-100\7511\102420\7511-102420-0050.flac,0.7042784102327951,train-clean-100\6529\62556\6529-62556-0026.flac,0.5612440646303064,tr\20ao010b_0.13684_020o030l_-0.13684.wav,0.5618309380263454
